ratio_percent;simu;scenario;variable
4.18869152863124;simu5;scesizespectrastopifchok;propfeffort
9.05920248527734;simu6;scesizespectrastopifchok;propfeffort
0.969110841065117;simu7;scesizespectrastopifchok;propfeffort
3.48067404438335;simu8;scesizespectrastopifchok;propfeffort
3.78462028117656;simu9;scesizespectrastopifchok;propfeffort
0.841364111076601;simu10;scesizespectrastopifchok;propfeffort
-2.08943058143592;simu1;sceavchokpszpctrastopifchok;propfeffort
0.630805071032043;simu2;sceavchokpszpctrastopifchok;propfeffort
7.76935008953177;simu3;sceavchokpszpctrastopifchok;propfeffort
9.64579620582109;simu4;sceavchokpszpctrastopifchok;propfeffort
3.01478718243409;simu5;sceavchokpszpctrastopifchok;propfeffort
3.35753174365723;simu6;sceavchokpszpctrastopifchok;propfeffort
-1.40817400085106;simu7;sceavchokpszpctrastopifchok;propfeffort
2.84855911072893;simu8;sceavchokpszpctrastopifchok;propfeffort
5.33669656920578;simu9;sceavchokpszpctrastopifchok;propfeffort
13.1162437254065;simu10;sceavchokpszpctrastopifchok;propfeffort
4.25753532211002;simu1;sceavhtariffspszpctratariffs;propfeffort
4.40771467064185;simu2;sceavhtariffspszpctratariffs;propfeffort
3.27042093972503;simu3;sceavhtariffspszpctratariffs;propfeffort
3.8254462004758;simu4;sceavhtariffspszpctratariffs;propfeffort
3.50314925971644;simu5;sceavhtariffspszpctratariffs;propfeffort
2.62369359799546;simu6;sceavhtariffspszpctratariffs;propfeffort
2.44058032917735;simu7;sceavhtariffspszpctratariffs;propfeffort
3.77767850014953;simu8;sceavhtariffspszpctratariffs;propfeffort
3.12126308479765;simu9;sceavhtariffspszpctratariffs;propfeffort
3.80644129553404;simu10;sceavhtariffspszpctratariffs;propfeffort
2.2570179048391;simu1;scetrgthtariffspszpctratariffs;propfeffort
3.30203651720294;simu2;scetrgthtariffspszpctratariffs;propfeffort
1.87292279803961;simu3;scetrgthtariffspszpctratariffs;propfeffort
3.35151041813253;simu4;scetrgthtariffspszpctratariffs;propfeffort
2.29385951687375;simu5;scetrgthtariffspszpctratariffs;propfeffort
2.58314749188872;simu6;scetrgthtariffspszpctratariffs;propfeffort
1.14148423276281;simu7;scetrgthtariffspszpctratariffs;propfeffort
2.75633033586151;simu8;scetrgthtariffspszpctratariffs;propfeffort
2.12866394146087;simu9;scetrgthtariffspszpctratariffs;propfeffort
3.00047502664324;simu10;scetrgthtariffspszpctratariffs;propfeffort
-0.117159209308412;simu1;sceannualcodclosure;propfeffort
-0.483852339814348;simu2;sceannualcodclosure;propfeffort
-1.01582058873313;simu3;sceannualcodclosure;propfeffort
-0.162435345061112;simu4;sceannualcodclosure;propfeffort
-0.311563556258221;simu5;sceannualcodclosure;propfeffort
-0.705586245238848;simu6;sceannualcodclosure;propfeffort
-0.738553029111173;simu7;sceannualcodclosure;propfeffort
0.0761933142862148;simu8;sceannualcodclosure;propfeffort
-1.18950957273157;simu9;sceannualcodclosure;propfeffort
-0.446912082223804;simu10;sceannualcodclosure;propfeffort
4.30757152480281;simu1;scequartercodclosure;propfeffort
4.1695239810871;simu2;scequartercodclosure;propfeffort
2.69772045179634;simu3;scequartercodclosure;propfeffort
4.23066180044745;simu4;scequartercodclosure;propfeffort
3.30987795436046;simu5;scequartercodclosure;propfeffort
